mx-0 href,w-[70px],w-full src,bg-neutral-300 src,flex,mr-1,mr-1 (2),card-title,line-clamp-1
https://www.tayara.tn/item/immobilier-neuf/la-manouba/la-manouba/a-vendre-s3-au-1-r-tage/690dc460145e1617cb9e6f12/,Résidence Eddiar,https://www.tayara.tn/mediaGateway/resize-image?img=c8/c8a22855-a811-46ec-9e49-4df52e2b75f5&w=100&w=300,https://www.tayara.tn/mediaGateway/resize-image?img=1c/1c752938-41d1-4e73-b1ed-77194c99ed93&w=300,NEUF,350,000,A vendre S+3 au 1 ér étage,"La Manouba, 2 hours ago"
https://www.tayara.tn/item/immobilier-neuf/la-manouba/la-manouba/a-vendre-s2-au-4-me-tage/690dc6a0145e1617cb9e7297/,Résidence Eddiar,https://www.tayara.tn/mediaGateway/resize-image?img=c8/c8a22855-a811-46ec-9e49-4df52e2b75f5&w=100&w=300,https://www.tayara.tn/mediaGateway/resize-image?img=9d/9d8017fd-12cb-402e-9369-5f3cb09d40a3&w=300,NEUF,273,000,A vendre S+2 au 4 ème étage,"La Manouba, 2 hours ago"
https://www.tayara.tn/item/immobilier-neuf/la-manouba/la-manouba/a-vendre-s2-au-rdc/690db759145e1617cb9e5ad9/,Résidence Eddiar,https://www.tayara.tn/mediaGateway/resize-image?img=c8/c8a22855-a811-46ec-9e49-4df52e2b75f5&w=100&w=300,https://www.tayara.tn/mediaGateway/resize-image?img=c6/c6ada3d9-f6d3-4595-8358-be833d69921c&w=300,NEUF,259,999,A vendre S+2 au RDC,"La Manouba, 2 hours ago"
https://www.tayara.tn/item/immobilier-neuf/tunis/la-goulette/a-vendre-appartement-s1-haut-standing-au-1-er-tage-rsidence-first/692db977145e1617cbaedf24/,First Résidence,https://www.tayara.tn/mediaGateway/resize-image?img=1b/1b62015b-e7ee-438f-b4c3-511d46352283&w=100&w=300,https://www.tayara.tn/mediaGateway/resize-image?img=3d/3d1a8ef3-276a-4b01-a26e-b0d96ebd9995&w=300,NEUF,260,778,A VENDRE – Appartement S+1 Haut Standing au 1 er étage – Résidence FIRST,"Tunis, 2 hours ago"
https://www.tayara.tn/item/immobilier-neuf/tunis/le-kram/a-vendre-local-commercial-de-10223-m-au-rdc-rsidence-first/692dbdfa145e1617cbaee1a2/,First Résidence,https://www.tayara.tn/mediaGateway/resize-image?img=1b/1b62015b-e7ee-438f-b4c3-511d46352283&w=100&w=300,https://www.tayara.tn/mediaGateway/resize-image?img=ed/ed129f5b-b48a-4e28-872b-f8da182c32da&w=300,NEUF,715,610,"A vendre Local Commercial de 102,23 m² au RDC – Résidence FIRST","Tunis, 2 hours ago"
https://www.tayara.tn/item/immobilier-neuf/tunis/la-goulette/a-vendre-appartement-s3-haut-standing-au-1-er-tage-rsidence-first/692dbabd265523b710ee09b9/,First Résidence,https://www.tayara.tn/mediaGateway/resize-image?img=1b/1b62015b-e7ee-438f-b4c3-511d46352283&w=100&w=300,https://www.tayara.tn/mediaGateway/resize-image?img=75/7567cc66-952e-4ea9-8848-30495123f0ee&w=300,NEUF,539,994,A VENDRE – Appartement S+3 Haut Standing au 1 er étage – Résidence FIRST,"Tunis, 2 hours ago"
https://www.tayara.tn/item/immobilier-neuf/tunis/la-goulette/-vendre-appartement-s2-haut-standing-au-3-me-tage-rsidence-first/692db5cf145e1617cbaedc91/,First Résidence,https://www.tayara.tn/mediaGateway/resize-image?img=1b/1b62015b-e7ee-438f-b4c3-511d46352283&w=100&w=300,https://www.tayara.tn/mediaGateway/resize-image?img=fd/fddcbcfb-a1c9-4a94-8da4-b4e3d93ff1db&w=300,NEUF,590,478,À VENDRE – Appartement S+2 Haut Standing au 3 éme étage – Résidence FIRST,"Tunis, 2 hours ago"
https://www.tayara.tn/item/immobilier-neuf/tunis/tunis/a-vendre-local-commercial-de-6523-m-au-rdc-rsidence-first/692dbc1d265523b710ee0a86/,First Résidence,https://www.tayara.tn/mediaGateway/resize-image?img=1b/1b62015b-e7ee-438f-b4c3-511d46352283&w=100&w=300,https://www.tayara.tn/mediaGateway/resize-image?img=07/07c5ec67-ba29-43b4-91d9-6fb9eef112c3&w=300,NEUF,456,610,"A vendre Local Commercial de 65,23 m² au RDC – Résidence FIRST","tunis, 2 hours ago"
https://www.tayara.tn/item/immobilier-neuf/tunis/la-goulette/a-vendre-appartement-s1-haut-standing-au-2me-tage-rsidence-first/692db729145e1617cbaedd8d/,First Résidence,https://www.tayara.tn/mediaGateway/resize-image?img=1b/1b62015b-e7ee-438f-b4c3-511d46352283&w=100&w=300,https://www.tayara.tn/mediaGateway/resize-image?img=6d/6d4cb1ab-36ac-479a-85dd-945daf7be47f&w=300,NEUF,283,836,A VENDRE – Appartement S+1 Haut Standing au 2éme étage – Résidence FIRST,"Tunis, 2 hours ago"
https://www.tayara.tn/item/immobilier-neuf/tunis/la-goulette/a-vendre-local-commercial-de-8686-m-au-rdc-rsidence-first/692dbcf5265523b710ee0af7/,First Résidence,https://www.tayara.tn/mediaGateway/resize-image?img=1b/1b62015b-e7ee-438f-b4c3-511d46352283&w=100&w=300,https://www.tayara.tn/mediaGateway/resize-image?img=04/0427ded5-8b4c-4790-b98d-120ed831d2a1&w=300,NEUF,608,020,"A vendre Local Commercial de 86,86 m² au RDC – Résidence FIRST","Tunis, 2 hours ago"
https://www.tayara.tn/item/immobilier-neuf/tunis/la-goulette/a-vendre-appartement-s1-haut-standing-au-1-er-tage-rsidence-first/692da163145e1617cbaed17d/,First Résidence,https://www.tayara.tn/mediaGateway/resize-image?img=1b/1b62015b-e7ee-438f-b4c3-511d46352283&w=100&w=300,https://www.tayara.tn/mediaGateway/resize-image?img=0c/0ce3a590-ceda-4a2c-8aec-20327f6987cd&w=300,NEUF,283,836,A VENDRE – Appartement S+1 Haut Standing au 1 er étage – Résidence FIRST,"Tunis, 2 hours ago"
https://www.tayara.tn/item/immobilier-neuf/tunis/le-kram/a-vendre-appartement-s3-haut-standing-au-2-me-tage-rsidence-first/692da41b145e1617cbaed2af/,First Résidence,https://www.tayara.tn/mediaGateway/resize-image?img=1b/1b62015b-e7ee-438f-b4c3-511d46352283&w=100&w=300,https://www.tayara.tn/mediaGateway/resize-image?img=6d/6de981d5-3e93-4b88-a831-e47ee8d0899b&w=300,NEUF,539,994,A VENDRE – Appartement S+3 Haut Standing au 2 éme étage – Résidence FIRST,"Tunis, 2 hours ago"
https://www.tayara.tn/item/immobilier-neuf/tunis/la-goulette/a-vendre-appartement-s1-haut-standing-au-2me-tage-rsidence-first/692da5d0145e1617cbaed374/,First Résidence,https://www.tayara.tn/mediaGateway/resize-image?img=1b/1b62015b-e7ee-438f-b4c3-511d46352283&w=100&w=300,https://www.tayara.tn/mediaGateway/resize-image?img=c7/c71937e6-8d2a-4e33-a3cb-54f44fe240f8&w=300,NEUF,260,778,A VENDRE – Appartement S+1 Haut Standing au 2éme étage – Résidence FIRST,"Tunis, 2 hours ago"
https://www.tayara.tn/item/immobilier-neuf/tunis/tunis/a-vendre-un-appartement-s2-au-1-er-tage/67d2e51ec68ce6b5539d2afa/,Résidence Costa,https://www.tayara.tn/mediaGateway/resize-image?img=6b/6b9c6a58-c862-46bc-bfba-ccbe2ec8c302&w=100&w=300,https://www.tayara.tn/mediaGateway/resize-image?img=33/33e8e051-4894-441e-bef5-457c1e244066&w=300,NEUF,429,000,A vendre un appartement S+2 au 1 er étage,"tunis, 5 hours ago"
https://www.tayara.tn/item/immobilier-neuf/tunis/tunis/a-vendre-un-appartement-s1-au-5me-tage/67d7d3a8fd1c6385be36e292/,Résidence Costa,https://www.tayara.tn/mediaGateway/resize-image?img=6b/6b9c6a58-c862-46bc-bfba-ccbe2ec8c302&w=100&w=300,https://www.tayara.tn/mediaGateway/resize-image?img=f6/f66e306f-75b7-46aa-9118-06939a7718b3&w=300,,481,000,A vendre un appartement S+1 au 5éme étage,"tunis, 5 hours ago"
https://www.tayara.tn/item/immobilier-neuf/tunis/tunis/a-vendre-un-appartement-s1-au-rdc/67d2e3adefd14d3d0520ad4c/,Résidence Costa,https://www.tayara.tn/mediaGateway/resize-image?img=6b/6b9c6a58-c862-46bc-bfba-ccbe2ec8c302&w=100&w=300,https://www.tayara.tn/mediaGateway/resize-image?img=fc/fc1e119a-8e97-447b-ab1d-86e8ede2d42e&w=300,NEUF,366,000,A vendre un appartement S+1 au RDC,"tunis, 5 hours ago"
https://www.tayara.tn/item/immobilier-neuf/la-manouba/la-manouba/a-vendre-s2-au-4-me-tage/690db888145e1617cb9e5cd3/,Résidence Eddiar,https://www.tayara.tn/mediaGateway/resize-image?img=c8/c8a22855-a811-46ec-9e49-4df52e2b75f5&w=100&w=300,https://www.tayara.tn/mediaGateway/resize-image?img=35/35190134-9a58-4ae5-abc4-516303352747&w=300,NEUF,260,000,A vendre S+2 au 4 ème étage,"La Manouba, 5 hours ago"
https://www.tayara.tn/item/immobilier-neuf/tunis/tunis/a-vendre-un-appartement-s1-au-2me-tage/67cb037a119f0ab09bd1cec3/,Résidence Bousten,https://www.tayara.tn/mediaGateway/resize-image?img=7f/7fe4e4b2-19b4-4e14-9f55-28714c3a2d37&w=100&w=300,https://www.tayara.tn/mediaGateway/resize-image?img=94/946fa6cf-5987-4592-90b8-07f96217b6c1&w=300,NEUF,300,000,A vendre un appartement S+1 au 2éme étage,"tunis, a day ago"
